DEPTH,R4,COND,SP,GR,AC
1716,2.483,477.248,24.181,88.469,401.863
1716.125,2.261,501.888,24.181,89.607,400.128
1716.25,1.942,524.922,24.181,90.923,388.231
1716.375,1.889,535.55,24.181,88.779,373.222
1716.5,1.907,542.044,24.181,89.764,361.699
1716.625,2.01,550.998,24.181,88.009,349.91
1716.75,2.147,551.183,24.181,87.303,339.829
1716.875,2.367,551.172,24.181,88.551,320.681
1717,2.588,551.162,24.181,87.683,314.775
1717.125,2.693,535.49,24.182,85.419,323.438
1717.25,2.693,525.821,24.182,83.994,330.682
1717.375,2.679,508.1,24.182,85.269,338.802
1717.5,2.613,505.46,24.182,83.13,346.146
1717.625,2.574,491.088,24.182,81.11,359.385
1717.75,2.512,484.051,24.182,79.94,366.842
1717.875,2.452,484.042,24.182,85.323,370.157
1718,2.321,484.033,24.182,92.337,355.005
1718.125,2.196,484.024,24.182,92.885,341.743
1718.25,2.111,487.066,24.182,90.568,331.115
1718.375,2.091,498.162,24.183,88.302,329.697
1718.5,2.051,512.722,24.183,85.919,342.624
1718.625,2.051,527.707,24.156,84.185,357.192
1718.75,2.051,535.358,24.082,85.791,368.531
1718.875,2.095,535.348,24.082,89.1,368.293
1719,2.361,527.677,23.988,92.135,341.755
1719.125,2.69,525.857,23.981,92.374,325.844
1719.25,2.937,517.481,23.88,88.961,312.837
1719.375,3.251,483.934,23.88,89.19,301.099
1719.5,3.458,464.844,23.88,93.057,293.504
1719.625,3.691,439.405,23.88,94.491,294.904
1719.75,3.776,425.037,23.853,96.173,305.648
1719.875,3.86,401.218,23.779,94.728,313.437
1720,3.655,384.233,23.779,91.27,326.092
1720.125,3.352,378.318,23.779,91.805,338.544
1720.25,2.978,372.586,23.779,89.102,351.076
1720.375,2.581,367.953,23.78,87.049,358.152
1720.5,2.213,370.557,23.78,85.393,350.004
1720.625,1.946,382.017,23.78,83.983,326.307
1720.75,1.891,394.626,23.78,84.634,315.536
1720.875,2.04,406.499,23.78,83.072,310.187
1721,2.211,409.761,23.78,82.397,324.461
1721.125,2.297,412.877,23.78,81.076,340.882
1721.25,2.463,412.869,23.78,81.779,351.059
1721.375,2.641,409.027,23.78,82.484,333.756
1721.5,2.834,406.947,23.852,81.211,310.412
1721.625,2.919,400.109,23.882,79.979,296.897
1721.75,2.977,393.555,23.882,81.275,277.639
1721.875,3.017,386.434,23.882,78.596,279.918
1722,3.018,378.996,23.882,77.095,296.157
1722.125,2.957,367.861,23.859,75.848,303.389
1722.25,2.892,362.591,23.781,74.505,309.49
1722.375,2.848,362.584,23.781,73.531,313.477
1722.5,2.777,362.578,23.73,72.203,318.594
1722.625,2.707,362.571,23.68,71.554,321.911
1722.75,2.665,362.565,23.579,70.504,325.533
1722.875,2.656,362.558,23.579,71.272,329.03
1723,2.62,362.552,23.556,73.525,333.589
1723.125,2.616,367.516,23.478,72.328,333.996
1723.25,2.71,367.802,23.393,74.009,324.805
1723.375,2.76,367.795,23.235,75.709,316.573
1723.5,2.867,373.128,22.973,75.689,308.72
1723.625,3,373.121,22.617,77.547,307.591
1723.75,3.218,373.114,22.46,78.399,320.32
1723.875,3.469,364.712,22.265,80.431,329.549
1724,3.72,360.694,22.126,80.604,337.779
1724.125,3.971,348.119,21.962,80.402,328.421
1724.25,4.222,342.584,21.83,80.499,310.998
1724.375,4.552,332.454,21.658,81.207,304.094
1724.5,4.853,327.692,21.516,85.579,305.372
1724.625,5.055,328.916,21.361,85.466,310.878
1724.75,5.074,332.437,21.302,86.793,328.621
1724.875,4.643,334.775,21.254,89.155,398.407
1725,4.203,345.133,21.254,92.306,430.38
1725.125,3.735,375.377,21.395,95.081,440.216
1725.25,3.154,399.928,21.811,98.286,379.419
1725.375,2.624,418.295,22.189,100.324,340.944
1725.5,2.336,437.479,22.441,98.179,322.59
1725.625,2.336,451.009,22.756,94.784,316.961
1725.75,2.336,463.018,23.107,91.523,341.32
